param_n_estimators,mean_test_score,rank_test_score
20,0.6696556609707537,10
40,0.684236167632599,4
60,0.6838249349135517,6
80,0.6825050075210536,8
100,0.683292215197862,7
120,0.682328065067883,9
140,0.6839138092226559,5
160,0.6900663649099479,1
180,0.6867950404025356,2
200,0.6844717175249972,3
