mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11935515403747558,0.016830799284744187,0.01483016014099121,0.0021568450724367377,20,{'n_estimators': 20},0.6238650079866059,0.6646199587736188,0.7088296495406272,0.7141612690890479,0.6583314850404802,0.673961474086076,0.03368391176619485,9
0.21994614601135254,0.026191031582405155,0.021677446365356446,0.0018122115327604204,40,{'n_estimators': 40},0.623827202230508,0.6746640876926189,0.6688863483473377,0.7320419470508164,0.6784713843349222,0.6755781939312406,0.03441019470041964,8
0.30379881858825686,0.016077499468268606,0.03431835174560547,0.006415412358495549,60,{'n_estimators': 60},0.6235937352830883,0.6955637806602056,0.699801311116762,0.7435168822250101,0.6729609854919063,0.6870873389553944,0.039112095508125916,2
0.47512617111206057,0.06169186692301849,0.04741129875183105,0.009546046254874176,80,{'n_estimators': 80},0.6045097857094872,0.6784678977610874,0.6703206778420285,0.7464149230300381,0.6670098662238619,0.6733446301133006,0.045062234528038536,10
0.5415691375732422,0.025735356412551293,0.04909005165100098,0.005380344843051761,100,{'n_estimators': 100},0.6262606925093559,0.6963831701142489,0.6949056622924364,0.7417073177095623,0.6601607224459671,0.6838835130143142,0.03874140376149438,4
0.5389945030212402,0.025906391588386375,0.048683977127075194,0.0026600404382731476,120,{'n_estimators': 120},0.6165488389820117,0.6916122653509997,0.6894080081868108,0.7416174876669555,0.6687085077277908,0.6815790215829137,0.04040086929134083,6
0.6018936157226562,0.040460012020353216,0.05746579170227051,0.008024847370686983,140,{'n_estimators': 140},0.6241347155012289,0.6881348065389286,0.6915858930310068,0.7493386623805117,0.6805802193991716,0.6867548593701696,0.03975269584970633,3
0.7048882961273193,0.10177877550528301,0.059870433807373044,0.004030228573396889,160,{'n_estimators': 160},0.6200283170592841,0.6897310013918305,0.6815144872777457,0.7308314510472722,0.6746049479051528,0.6793420409362569,0.0355087799468626,7
0.7000174045562744,0.018941352110267387,0.06243395805358887,0.004707965239350756,180,{'n_estimators': 180},0.6292769313340727,0.6820348411460955,0.6892751329679077,0.7295863771239715,0.6803060137097592,0.6820958592563613,0.031937243699196996,5
0.7232413291931152,0.0117083876495134,0.06494288444519043,0.0025998621390270044,200,{'n_estimators': 200},0.6331580602078701,0.6935354493191663,0.6985877492339891,0.751641915618871,0.6753613484348742,0.6904569045629542,0.03828897238118912,1
